FECHA,DIA,HORA,BARRIO,MES,ZONA,CLASE_DE_SITIO,ARMA_EMPLEADA,Móvil Agresor,MOVIL_VICTIMA,EDAD,ESTADO_CIVIL,PAIS_NACIMIENTO,CLASE_EMPLEADO,PROFESION,ESCOLARIDAD,Genero,DESCRIPCION_CONDUCTA
2012-11-04,Domingo,08:00:00,-,nov.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,55.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,INGENIERO,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-11-09,Viernes,06:00:00,CEREZOS DE SUBA E-11,nov.,URBANA,CASAS DE HABITACION,NO REPORTADO,-,A PIE,23.0,SOLTERO,COLOMBIA,COMERCIANTE,-,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-11-15,Jueves,00:00:00,CHAPINERO NORTE E-2,nov.,URBANA,TRANSPORTE PÚBLICO,NO REPORTADO,CONDUCTOR VEHICULO,A PIE,61.0,-,COLOMBIA,EMPLEADO PARTICULAR,DERECHO,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2015-01-30,Viernes,04:40:00,MONACO E-11,ene.,URBANA,VIAS PUBLICAS,-,CONDUCTOR VEHICULO,A PIE,66.0,CASADO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2015-02-06,Viernes,18:10:00,QUINTA CAMACHO E-2,feb.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR TAXI,PASAJERO TAXI,50.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,INGENIERO,SUPERIOR,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2015-02-16,Lunes,23:30:00,MUZU E-16,feb.,URBANA,TRANSPORTE PÚBLICO,ARMA DE FUEGO,CONDUCTOR TAXI,PASAJERO TAXI,50.0,UNION LIBRE,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2015-02-21,Sábado,15:30:00,EL REMANSO E-16,feb.,URBANA,SUPERMERCADOS,-,CONDUCTOR VEHICULO,A PIE,35.0,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2015-03-12,Jueves,10:00:00,EL RETIRO E-2,mar.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,A PIE,21.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2015-03-25,Miércoles,09:00:00,VILLA MAYOR E-15,mar.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,A PIE,51.0,CASADO,COLOMBIA,EMPLEADO PARTICULAR,ADMINISTRACION  DE EMPRESAS,SUPERIOR,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2015-03-27,Viernes,08:00:00,TORRE EL RELOJ E-11,mar.,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,42.0,CASADO,COLOMBIA,AMA DE CASA,-,SECUNDARIA,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2015-05-02,Sábado,11:00:00,EL DORADO E-3,may.,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR VEHICULO,CONDUCTOR MOTOCICLETA,31.0,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2015-05-07,Jueves,14:30:00,EL RESTREPO E-15,may.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,19.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,TECNICO,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
